date,pollutant,mean_value,neighborhood
2022-01-20,Ozone,0.029,Washington Heights
2022-01-20,PM2.5,11,Washington Heights
2020-01-21,Ozone,0.028,Washington Heights
2020-01-21,PM2.5,7.7,Washington Heights
2021-01-21,Ozone,0.016,Washington Heights
2021-01-21,PM2.5,8.55,Washington Heights
2022-01-21,Ozone,0.028,Washington Heights
2022-01-21,PM2.5,8.65,Washington Heights
2020-01-22,Ozone,0.013,Washington Heights
2020-01-22,PM2.5,8.75,Washington Heights
2021-01-22,Ozone,0.027,Washington Heights
2021-01-22,PM2.5,9.7,Washington Heights
2022-01-22,Ozone,0.025,Washington Heights
2022-01-22,PM2.5,9,Washington Heights
2020-01-23,Ozone,0.007,Washington Heights
2020-01-23,PM2.5,19.05,Washington Heights
2021-01-23,Ozone,0.03,Washington Heights
2021-01-23,PM2.5,6.65,Washington Heights
2022-01-23,Ozone,0.024,Washington Heights
2022-01-23,PM2.5,11.8,Washington Heights
2020-01-24,Ozone,0.02,Washington Heights
2020-01-24,PM2.5,16.5,Washington Heights
2021-01-24,Ozone,0.033,Washington Heights
2021-01-24,PM2.5,5.55,Washington Heights
2022-01-24,Ozone,0.021,Washington Heights
2022-01-24,PM2.5,12.45,Washington Heights
2020-01-25,Ozone,0.027,Washington Heights
2020-01-25,PM2.5,5.65,Washington Heights
2021-01-25,Ozone,0.021,Washington Heights
2021-01-25,PM2.5,8,Washington Heights
2022-01-25,Ozone,0.028,Washington Heights
2022-01-25,PM2.5,15.049999999999999,Washington Heights
2020-01-26,Ozone,0.018,Washington Heights
2020-01-26,PM2.5,6.1,Washington Heights
2021-01-26,Ozone,0.021,Washington Heights
2021-01-26,PM2.5,7.25,Washington Heights
2022-01-26,Ozone,0.032,Washington Heights
2022-01-26,PM2.5,8.4,Washington Heights
2020-01-27,Ozone,0.021,Washington Heights
2020-01-27,PM2.5,7.6,Washington Heights
2021-01-27,Ozone,0.023,Washington Heights
2021-01-27,PM2.5,9.75,Washington Heights
2022-01-27,Ozone,0.024,Washington Heights
2022-01-27,PM2.5,9.35,Washington Heights
2020-01-28,Ozone,0.031,Washington Heights
2020-01-28,PM2.5,6.1,Washington Heights
2021-01-28,Ozone,0.031,Washington Heights
2021-01-28,PM2.5,6.85,Washington Heights
2022-01-28,Ozone,0.022,Washington Heights
2022-01-28,PM2.5,16.05,Washington Heights
2020-01-29,Ozone,0.031,Washington Heights
2020-01-29,PM2.5,6.199999999999999,Washington Heights
2021-01-29,Ozone,0.035,Washington Heights
2021-01-29,PM2.5,6.050000000000001,Washington Heights
2022-01-29,Ozone,0.034,Washington Heights
2022-01-29,PM2.5,9.2,Washington Heights
2020-01-30,Ozone,0.02,Washington Heights
2020-01-30,PM2.5,8.4,Washington Heights
2021-01-30,Ozone,0.034,Washington Heights
2021-01-30,PM2.5,7.5,Washington Heights
2022-01-30,Ozone,0.031,Washington Heights
2022-01-30,PM2.5,10.3,Washington Heights
2020-01-31,Ozone,0.006,Washington Heights
2020-01-31,PM2.5,11.600000000000001,Washington Heights
