date,pollutant,mean_value,neighborhood
2020-04-02,PM2.5,2,Willowbrook
2021-04-02,Ozone,0.036,Willowbrook
2021-04-02,PM2.5,3.4,Willowbrook
2022-04-02,Ozone,0.041,Willowbrook
2022-04-02,PM2.5,2.8,Willowbrook
2020-04-03,Ozone,0.03,Willowbrook
2020-04-03,PM2.5,2.2,Willowbrook
2021-04-03,Ozone,0.043,Willowbrook
2021-04-03,PM2.5,2.9,Willowbrook
2022-04-03,Ozone,0.038,Willowbrook
2022-04-03,PM2.5,4,Willowbrook
2020-04-04,Ozone,0.038,Willowbrook
2020-04-04,PM2.5,3.4,Willowbrook
2021-04-04,Ozone,0.046,Willowbrook
2021-04-04,PM2.5,7.1,Willowbrook
2022-04-04,Ozone,0.038,Willowbrook
2022-04-04,PM2.5,3.7,Willowbrook
2020-04-05,Ozone,0.029,Willowbrook
2020-04-05,PM2.5,8.1,Willowbrook
2021-04-05,Ozone,0.049,Willowbrook
2021-04-05,PM2.5,5.8,Willowbrook
2022-04-05,Ozone,0.041,Willowbrook
2022-04-05,PM2.5,6.1,Willowbrook
2020-04-06,Ozone,0.043,Willowbrook
2021-04-06,Ozone,0.052,Willowbrook
2021-04-06,PM2.5,5.7,Willowbrook
2022-04-06,Ozone,0.031,Willowbrook
2022-04-06,PM2.5,3.2,Willowbrook
2020-04-07,Ozone,0.047,Willowbrook
2020-04-07,PM2.5,3.8,Willowbrook
2021-04-07,Ozone,0.036,Willowbrook
2021-04-07,PM2.5,7.9,Willowbrook
2022-04-07,Ozone,0.042,Willowbrook
2022-04-07,PM2.5,1.6,Willowbrook
2020-04-08,Ozone,0.043,Willowbrook
2020-04-08,PM2.5,7.6,Willowbrook
2021-04-08,Ozone,0.04,Willowbrook
2021-04-08,PM2.5,5.2,Willowbrook
2022-04-08,Ozone,0.045,Willowbrook
2020-04-09,Ozone,0.044,Willowbrook
2020-04-09,PM2.5,3.1,Willowbrook
2021-04-09,Ozone,0.035,Willowbrook
2022-04-09,Ozone,0.036,Willowbrook
2022-04-09,PM2.5,2,Willowbrook
2020-04-10,Ozone,0.038,Willowbrook
2020-04-10,PM2.5,3,Willowbrook
2021-04-10,Ozone,0.035,Willowbrook
2021-04-10,PM2.5,1.7,Willowbrook
2022-04-10,Ozone,0.033,Willowbrook
2022-04-10,PM2.5,1.7,Willowbrook
2020-04-11,Ozone,0.045,Willowbrook
2020-04-11,PM2.5,3.9,Willowbrook
2021-04-11,Ozone,0.033,Willowbrook
2021-04-11,PM2.5,1.1,Willowbrook
2022-04-11,Ozone,0.034,Willowbrook
2022-04-11,PM2.5,2.2,Willowbrook
2020-04-12,Ozone,0.049,Willowbrook
2020-04-12,PM2.5,7.6,Willowbrook
2021-04-12,Ozone,0.025,Willowbrook
2021-04-12,PM2.5,3.2,Willowbrook
2022-04-12,Ozone,0.045,Willowbrook
2022-04-12,PM2.5,4.6,Willowbrook
2020-04-13,Ozone,0.044,Willowbrook
2020-04-13,PM2.5,4.1,Willowbrook
2021-04-13,Ozone,0.042,Willowbrook
2021-04-13,PM2.5,3.8,Willowbrook
2022-04-13,Ozone,0.045,Willowbrook
2022-04-13,PM2.5,9.6,Willowbrook
2020-04-14,Ozone,0.045,Willowbrook
2020-04-14,PM2.5,2.7,Willowbrook
2021-04-14,Ozone,0.04,Willowbrook
2021-04-14,PM2.5,4.2,Willowbrook
2022-04-14,Ozone,0.051,Willowbrook
2022-04-14,PM2.5,9.8,Willowbrook
2020-04-15,Ozone,0.046,Willowbrook
2020-04-15,PM2.5,3.4,Willowbrook
2021-04-15,Ozone,0.037,Willowbrook
2021-04-15,PM2.5,3.1,Willowbrook
2022-04-15,Ozone,0.051,Willowbrook
2022-04-15,PM2.5,2.3,Willowbrook
2020-04-16,Ozone,0.041,Willowbrook
2020-04-16,PM2.5,4.8,Willowbrook
2021-04-16,Ozone,0.025,Willowbrook
2021-04-16,PM2.5,0.9,Willowbrook
2022-04-16,Ozone,0.05,Willowbrook
2022-04-16,PM2.5,3.4,Willowbrook
2020-04-17,Ozone,0.046,Willowbrook
2020-04-17,PM2.5,3.8,Willowbrook
2021-04-17,Ozone,0.034,Willowbrook
2021-04-17,PM2.5,1.4,Willowbrook
2022-04-17,Ozone,0.031,Willowbrook
2022-04-17,PM2.5,2.7,Willowbrook
2020-04-18,Ozone,0.038,Willowbrook
2020-04-18,PM2.5,4.3,Willowbrook
2021-04-18,Ozone,0.037,Willowbrook
2021-04-18,PM2.5,4.9,Willowbrook
2022-04-18,Ozone,0.031,Willowbrook
2022-04-18,PM2.5,1.4,Willowbrook
2020-04-19,Ozone,0.052,Willowbrook
2020-04-19,PM2.5,5.9,Willowbrook
2021-04-19,Ozone,0.043,Willowbrook
2021-04-19,PM2.5,8.4,Willowbrook
2022-04-19,Ozone,0.032,Willowbrook
2022-04-19,PM2.5,2.2,Willowbrook
2020-04-20,Ozone,0.037,Willowbrook
2020-04-20,PM2.5,3.9,Willowbrook
2021-04-20,Ozone,0.056,Willowbrook
2021-04-20,PM2.5,7.1,Willowbrook
2022-04-20,Ozone,0.037,Willowbrook
2022-04-20,PM2.5,4.1,Willowbrook
2020-04-21,Ozone,0.041,Willowbrook
2020-04-21,PM2.5,4,Willowbrook
2021-04-21,Ozone,0.045,Willowbrook
2021-04-21,PM2.5,3.6,Willowbrook
2022-04-21,Ozone,0.043,Willowbrook
2022-04-21,PM2.5,3.9,Willowbrook
2020-04-22,Ozone,0.041,Willowbrook
2020-04-22,PM2.5,3.1,Willowbrook
2021-04-22,Ozone,0.041,Willowbrook
2021-04-22,PM2.5,2,Willowbrook
2022-04-22,Ozone,0.044,Willowbrook
2022-04-22,PM2.5,4.8,Willowbrook
2020-04-23,Ozone,0.04,Willowbrook
2020-04-23,PM2.5,4.5,Willowbrook
2021-04-23,Ozone,0.053,Willowbrook
2021-04-23,PM2.5,4.5,Willowbrook
2022-04-23,Ozone,0.041,Willowbrook
2022-04-23,PM2.5,3.3,Willowbrook
2020-04-24,PM2.5,4.3,Willowbrook
2021-04-24,Ozone,0.061,Willowbrook
2021-04-24,PM2.5,10.6,Willowbrook
2022-04-24,Ozone,0.043,Willowbrook
2022-04-24,PM2.5,4.2,Willowbrook
2020-04-25,Ozone,0.047,Willowbrook
2020-04-25,PM2.5,5,Willowbrook
2021-04-25,Ozone,0.049,Willowbrook
2021-04-25,PM2.5,8.7,Willowbrook
2022-04-25,Ozone,0.04,Willowbrook
2022-04-25,PM2.5,3,Willowbrook
2020-04-26,Ozone,0.038,Willowbrook
2020-04-26,PM2.5,2.1,Willowbrook
2021-04-26,Ozone,0.048,Willowbrook
2021-04-26,PM2.5,2.4,Willowbrook
2022-04-26,Ozone,0.025,Willowbrook
2022-04-26,PM2.5,7,Willowbrook
2021-04-27,Ozone,0.05,Willowbrook
2021-04-27,PM2.5,4,Willowbrook
2022-04-27,Ozone,0.033,Willowbrook
2022-04-27,PM2.5,1,Willowbrook
2020-04-28,Ozone,0.045,Willowbrook
2021-04-28,Ozone,0.049,Willowbrook
2021-04-28,PM2.5,12.2,Willowbrook
2022-04-28,Ozone,0.043,Willowbrook
2022-04-28,PM2.5,2.1,Willowbrook
2020-04-29,Ozone,0.042,Willowbrook
2020-04-29,PM2.5,6.1,Willowbrook
2021-04-29,Ozone,0.037,Willowbrook
2021-04-29,PM2.5,10.4,Willowbrook
2022-04-29,Ozone,0.047,Willowbrook
2022-04-29,PM2.5,3.6,Willowbrook
2020-04-30,Ozone,0.043,Willowbrook
2020-04-30,PM2.5,5.7,Willowbrook
2021-04-30,Ozone,0.04,Willowbrook
2021-04-30,PM2.5,0.2,Willowbrook
2022-04-30,Ozone,0.046,Willowbrook
2022-04-30,PM2.5,3.9,Willowbrook
2020-05-01,Ozone,0.046,Willowbrook
2021-05-01,Ozone,0.043,Willowbrook
2021-05-01,PM2.5,0.5,Willowbrook
2022-05-01,Ozone,0.051,Willowbrook
2022-05-01,PM2.5,6.8,Willowbrook
2020-05-02,Ozone,0.042,Willowbrook
2021-05-02,Ozone,0.056,Willowbrook
2021-05-02,PM2.5,6.7,Willowbrook
2022-05-02,PM2.5,6,Willowbrook
2020-05-03,Ozone,0.05,Willowbrook
2020-05-03,PM2.5,5.2,Willowbrook
2021-05-03,Ozone,0.039,Willowbrook
2021-05-03,PM2.5,6.3,Willowbrook
2022-05-03,Ozone,0.037,Willowbrook
2022-05-03,PM2.5,-1.2,Willowbrook
2020-05-04,Ozone,0.043,Willowbrook
2020-05-04,PM2.5,5,Willowbrook
2021-05-04,Ozone,0.048,Willowbrook
2021-05-04,PM2.5,3.9,Willowbrook
2022-05-04,Ozone,0.027,Willowbrook
2022-05-04,PM2.5,1.3,Willowbrook
2020-05-05,Ozone,0.047,Willowbrook
2021-05-05,Ozone,0.019,Willowbrook
2021-05-05,PM2.5,3.4,Willowbrook
2022-05-05,Ozone,0.04,Willowbrook
2022-05-05,PM2.5,1.9,Willowbrook
2020-05-06,Ozone,0.038,Willowbrook
2020-05-06,PM2.5,2.8,Willowbrook
2021-05-06,Ozone,0.036,Willowbrook
2021-05-06,PM2.5,0.2,Willowbrook
2022-05-06,Ozone,0.044,Willowbrook
2022-05-06,PM2.5,0.6,Willowbrook
2020-05-07,Ozone,0.047,Willowbrook
2020-05-07,PM2.5,2.7,Willowbrook
2021-05-07,PM2.5,2.3,Willowbrook
2022-05-07,Ozone,0.035,Willowbrook
2022-05-07,PM2.5,2.8,Willowbrook
2020-05-08,Ozone,0.032,Willowbrook
2020-05-08,PM2.5,1.8,Willowbrook
2021-05-08,Ozone,0.034,Willowbrook
2021-05-08,PM2.5,1.6,Willowbrook
2022-05-08,Ozone,0.037,Willowbrook
2022-05-08,PM2.5,2.8,Willowbrook
2020-05-09,Ozone,0.03,Willowbrook
2021-05-09,Ozone,0.037,Willowbrook
2021-05-09,PM2.5,1.8,Willowbrook
2022-05-09,Ozone,0.05,Willowbrook
2022-05-09,PM2.5,4,Willowbrook
2020-05-10,Ozone,0.047,Willowbrook
2020-05-10,PM2.5,2.7,Willowbrook
2021-05-10,Ozone,0.034,Willowbrook
2021-05-10,PM2.5,1.9,Willowbrook
2022-05-10,Ozone,0.048,Willowbrook
2022-05-10,PM2.5,5.4,Willowbrook
2020-05-11,Ozone,0.037,Willowbrook
2020-05-11,PM2.5,2.7,Willowbrook
2021-05-11,Ozone,0.045,Willowbrook
2021-05-11,PM2.5,2.6,Willowbrook
2022-05-11,Ozone,0.043,Willowbrook
2022-05-11,PM2.5,7.7,Willowbrook
2020-05-12,Ozone,0.04,Willowbrook
2021-05-12,Ozone,0.035,Willowbrook
2021-05-12,PM2.5,1.5,Willowbrook
2022-05-12,Ozone,0.03,Willowbrook
2022-05-12,PM2.5,3.7,Willowbrook
2020-05-13,Ozone,0.048,Willowbrook
2020-05-13,PM2.5,3.5,Willowbrook
2021-05-13,Ozone,0.045,Willowbrook
2021-05-13,PM2.5,3.9,Willowbrook
2022-05-13,Ozone,0.019,Willowbrook
2022-05-13,PM2.5,1.7,Willowbrook
2020-05-14,Ozone,0.046,Willowbrook
2020-05-14,PM2.5,5.5,Willowbrook
2021-05-14,Ozone,0.05,Willowbrook
2021-05-14,PM2.5,6.2,Willowbrook
2022-05-14,Ozone,0.019,Willowbrook
2022-05-14,PM2.5,-0.5,Willowbrook
2020-05-15,Ozone,0.056,Willowbrook
2020-05-15,PM2.5,8.8,Willowbrook
2021-05-15,Ozone,0.053,Willowbrook
2021-05-15,PM2.5,6.3,Willowbrook
2022-05-15,Ozone,0.036,Willowbrook
2022-05-15,PM2.5,2.6,Willowbrook
2020-05-16,Ozone,0.049,Willowbrook
2021-05-16,Ozone,0.053,Willowbrook
2021-05-16,PM2.5,6.2,Willowbrook
2022-05-16,Ozone,0.041,Willowbrook
2022-05-16,PM2.5,4.9,Willowbrook
2020-05-17,Ozone,0.044,Willowbrook
2021-05-17,Ozone,0.062,Willowbrook
2021-05-17,PM2.5,8.8,Willowbrook
2022-05-17,Ozone,0.046,Willowbrook
2022-05-17,PM2.5,2.8,Willowbrook
2020-05-18,Ozone,0.043,Willowbrook
2020-05-18,PM2.5,2.4,Willowbrook
2021-05-18,Ozone,0.063,Willowbrook
2021-05-18,PM2.5,6.9,Willowbrook
2022-05-18,Ozone,0.042,Willowbrook
2022-05-18,PM2.5,2.1,Willowbrook
2020-05-19,Ozone,0.039,Willowbrook
2020-05-19,PM2.5,3.2,Willowbrook
2021-05-19,Ozone,0.068,Willowbrook
2021-05-19,PM2.5,10.1,Willowbrook
2022-05-19,Ozone,0.035,Willowbrook
2022-05-19,PM2.5,2.9,Willowbrook
2020-05-20,Ozone,0.039,Willowbrook
2020-05-20,PM2.5,1.7,Willowbrook
2021-05-20,Ozone,0.042,Willowbrook
2021-05-20,PM2.5,4.4,Willowbrook
2022-05-20,Ozone,0.039,Willowbrook
2022-05-20,PM2.5,6.4,Willowbrook
2020-05-21,Ozone,0.036,Willowbrook
2020-05-21,PM2.5,3.3,Willowbrook
2021-05-21,Ozone,0.047,Willowbrook
2021-05-21,PM2.5,6.2,Willowbrook
2022-05-21,Ozone,0.057,Willowbrook
2022-05-21,PM2.5,12.4,Willowbrook
2020-05-22,Ozone,0.035,Willowbrook
2020-05-22,PM2.5,4.2,Willowbrook
2021-05-22,Ozone,0.063,Willowbrook
2021-05-22,PM2.5,9.8,Willowbrook
2022-05-22,Ozone,0.051,Willowbrook
2022-05-22,PM2.5,9.5,Willowbrook
2020-05-23,Ozone,0.033,Willowbrook
2020-05-23,PM2.5,2.8,Willowbrook
2021-05-23,Ozone,0.043,Willowbrook
2021-05-23,PM2.5,7.2,Willowbrook
2022-05-23,Ozone,0.035,Willowbrook
2022-05-23,PM2.5,0.6,Willowbrook
2020-05-24,Ozone,0.039,Willowbrook
2020-05-24,PM2.5,4.6,Willowbrook
2021-05-24,Ozone,0.04,Willowbrook
2021-05-24,PM2.5,1.6,Willowbrook
2022-05-24,Ozone,0.027,Willowbrook
2022-05-24,PM2.5,1.6,Willowbrook
2020-05-25,Ozone,0.034,Willowbrook
2020-05-25,PM2.5,3.9,Willowbrook
2021-05-25,Ozone,0.054,Willowbrook
2021-05-25,PM2.5,7.4,Willowbrook
2022-05-25,Ozone,0.029,Willowbrook
2022-05-25,PM2.5,1,Willowbrook
2020-05-26,Ozone,0.027,Willowbrook
2021-05-26,Ozone,0.063,Willowbrook
2021-05-26,PM2.5,9.7,Willowbrook
2022-05-26,Ozone,0.031,Willowbrook
2022-05-26,PM2.5,0.6,Willowbrook
2020-05-27,Ozone,0.026,Willowbrook
2021-05-27,Ozone,0.045,Willowbrook
2021-05-27,PM2.5,2.4,Willowbrook
2022-05-27,Ozone,0.023,Willowbrook
2022-05-27,PM2.5,1.2,Willowbrook
2020-05-28,Ozone,0.019,Willowbrook
2020-05-28,PM2.5,1.9,Willowbrook
2021-05-28,Ozone,0.037,Willowbrook
2021-05-28,PM2.5,1.3,Willowbrook
2022-05-28,Ozone,0.037,Willowbrook
2022-05-28,PM2.5,2.5,Willowbrook
2020-05-29,Ozone,0.029,Willowbrook
2020-05-29,PM2.5,3.2,Willowbrook
2021-05-29,Ozone,0.031,Willowbrook
2021-05-29,PM2.5,0,Willowbrook
2022-05-29,Ozone,0.044,Willowbrook
2022-05-29,PM2.5,4,Willowbrook
2020-05-30,Ozone,0.044,Willowbrook
2021-05-30,Ozone,0.023,Willowbrook
2021-05-30,PM2.5,0,Willowbrook
2022-05-30,Ozone,0.05,Willowbrook
2022-05-30,PM2.5,8.1,Willowbrook
2020-05-31,Ozone,0.035,Willowbrook
2021-05-31,Ozone,0.029,Willowbrook
2021-05-31,PM2.5,2.7,Willowbrook
2022-05-31,Ozone,0.047,Willowbrook
2020-06-01,Ozone,0.043,Willowbrook
2021-06-01,Ozone,0.054,Willowbrook
2021-06-01,PM2.5,7.2,Willowbrook
2020-06-02,Ozone,0.05,Willowbrook
2021-06-02,Ozone,0.045,Willowbrook
2021-06-02,PM2.5,4.5,Willowbrook
2022-06-02,Ozone,0.038,Willowbrook
2022-06-02,PM2.5,1.5,Willowbrook
2020-06-03,Ozone,0.049,Willowbrook
2020-06-03,PM2.5,6.9,Willowbrook
2021-06-03,Ozone,0.024,Willowbrook
2021-06-03,PM2.5,2,Willowbrook
2022-06-03,Ozone,0.042,Willowbrook
2022-06-03,PM2.5,3.6,Willowbrook
2020-06-04,Ozone,0.059,Willowbrook
2020-06-04,PM2.5,7.8,Willowbrook
2021-06-04,Ozone,0.039,Willowbrook
2021-06-04,PM2.5,2.4,Willowbrook
2022-06-04,Ozone,0.056,Willowbrook
2022-06-04,PM2.5,3.4,Willowbrook
2020-06-05,Ozone,0.041,Willowbrook
2020-06-05,PM2.5,4.5,Willowbrook
2022-06-05,Ozone,0.057,Willowbrook
2022-06-05,PM2.5,1,Willowbrook
2020-06-06,Ozone,0.05,Willowbrook
2020-06-06,PM2.5,4.6,Willowbrook
2022-06-06,Ozone,0.056,Willowbrook
2022-06-06,PM2.5,3.2,Willowbrook
2020-06-07,Ozone,0.034,Willowbrook
2022-06-07,Ozone,0.037,Willowbrook
2020-06-08,Ozone,0.035,Willowbrook
2020-06-08,PM2.5,3,Willowbrook
2022-06-08,Ozone,0.05,Willowbrook
2020-06-09,Ozone,0.071,Willowbrook
2020-06-09,PM2.5,7.8,Willowbrook
2022-06-09,Ozone,0.046,Willowbrook
2020-06-10,Ozone,0.044,Willowbrook
2020-06-10,PM2.5,8.8,Willowbrook
2022-06-10,Ozone,0.04,Willowbrook
2020-06-11,Ozone,0.035,Willowbrook
2020-06-11,PM2.5,5.4,Willowbrook
2022-06-11,Ozone,0.036,Willowbrook
2020-06-12,Ozone,0.053,Willowbrook
2020-06-12,PM2.5,2.6,Willowbrook
2022-06-12,Ozone,0.042,Willowbrook
2020-06-13,Ozone,0.038,Willowbrook
2022-06-13,Ozone,0.052,Willowbrook
2020-06-14,Ozone,0.039,Willowbrook
2022-06-14,Ozone,0.048,Willowbrook
2022-06-14,PM2.5,5.3,Willowbrook
2020-06-15,Ozone,0.035,Willowbrook
2020-06-15,PM2.5,4.1,Willowbrook
2021-06-15,Ozone,0.041,Willowbrook
2021-06-15,PM2.5,2.2,Willowbrook
2022-06-15,Ozone,0.036,Willowbrook
2022-06-15,PM2.5,4.6,Willowbrook
2020-06-16,Ozone,0.035,Willowbrook
2020-06-16,PM2.5,3.2,Willowbrook
2021-06-16,Ozone,0.037,Willowbrook
2021-06-16,PM2.5,-0.2,Willowbrook
2022-06-16,Ozone,0.031,Willowbrook
2022-06-16,PM2.5,-0.1,Willowbrook
2020-06-17,Ozone,0.036,Willowbrook
2020-06-17,PM2.5,3,Willowbrook
2021-06-17,Ozone,0.045,Willowbrook
2021-06-17,PM2.5,1.9,Willowbrook
2022-06-17,Ozone,0.048,Willowbrook
2022-06-17,PM2.5,5.4,Willowbrook
2020-06-18,Ozone,0.018,Willowbrook
2021-06-18,Ozone,0.071,Willowbrook
2021-06-18,PM2.5,5.2,Willowbrook
2022-06-18,Ozone,0.023,Willowbrook
2022-06-18,PM2.5,1.4,Willowbrook
2020-06-19,Ozone,0.037,Willowbrook
2021-06-19,Ozone,0.059,Willowbrook
2021-06-19,PM2.5,7.5,Willowbrook
2022-06-19,Ozone,0.027,Willowbrook
2022-06-19,PM2.5,1.4,Willowbrook
2020-06-20,Ozone,0.048,Willowbrook
2020-06-20,PM2.5,7,Willowbrook
2021-06-20,Ozone,0.063,Willowbrook
2021-06-20,PM2.5,8.4,Willowbrook
2022-06-20,Ozone,0.039,Willowbrook
2022-06-20,PM2.5,5.3,Willowbrook
2020-06-21,Ozone,0.035,Willowbrook
2021-06-21,Ozone,0.038,Willowbrook
2021-06-21,PM2.5,7.2,Willowbrook
2022-06-21,Ozone,0.053,Willowbrook
2022-06-21,PM2.5,14.3,Willowbrook
2020-06-22,Ozone,0.056,Willowbrook
2020-06-22,PM2.5,3,Willowbrook
2021-06-22,Ozone,0.021,Willowbrook
2021-06-22,PM2.5,1.6,Willowbrook
2022-06-22,Ozone,0.052,Willowbrook
2022-06-22,PM2.5,4.6,Willowbrook
2020-06-23,Ozone,0.051,Willowbrook
2020-06-23,PM2.5,7.7,Willowbrook
2021-06-23,Ozone,0.038,Willowbrook
2021-06-23,PM2.5,1.5,Willowbrook
2022-06-23,Ozone,0.039,Willowbrook
2022-06-23,PM2.5,0.9,Willowbrook
2020-06-24,Ozone,0.046,Willowbrook
2021-06-24,Ozone,0.044,Willowbrook
2021-06-24,PM2.5,2.2,Willowbrook
2022-06-24,Ozone,0.042,Willowbrook
2022-06-24,PM2.5,3.5,Willowbrook
2020-06-25,Ozone,0.059,Willowbrook
2020-06-25,PM2.5,6.8,Willowbrook
2021-06-25,Ozone,0.043,Willowbrook
2021-06-25,PM2.5,3,Willowbrook
2022-06-25,Ozone,0.061,Willowbrook
2022-06-25,PM2.5,8.4,Willowbrook
2020-06-26,Ozone,0.053,Willowbrook
2020-06-26,PM2.5,9.7,Willowbrook
2021-06-26,Ozone,0.018,Willowbrook
2021-06-26,PM2.5,4.4,Willowbrook
2022-06-26,Ozone,0.053,Willowbrook
2022-06-26,PM2.5,7.6,Willowbrook
2020-06-27,Ozone,0.045,Willowbrook
2020-06-27,PM2.5,11.1,Willowbrook
2021-06-27,Ozone,0.031,Willowbrook
2021-06-27,PM2.5,7.1,Willowbrook
2022-06-27,Ozone,0.026,Willowbrook
2022-06-27,PM2.5,4.9,Willowbrook
2020-06-28,Ozone,0.05,Willowbrook
2020-06-28,PM2.5,7.5,Willowbrook
2021-06-28,Ozone,0.054,Willowbrook
2021-06-28,PM2.5,8.1,Willowbrook
2022-06-28,Ozone,0.042,Willowbrook
2022-06-28,PM2.5,1.4,Willowbrook
2020-06-29,Ozone,0.037,Willowbrook
2020-06-29,PM2.5,8.1,Willowbrook
2021-06-29,Ozone,0.062,Willowbrook
2021-06-29,PM2.5,7.1,Willowbrook
2022-06-29,Ozone,0.056,Willowbrook
2022-06-29,PM2.5,4.9,Willowbrook
2020-06-30,Ozone,0.037,Willowbrook
2020-06-30,PM2.5,4.6,Willowbrook
2021-06-30,Ozone,0.056,Willowbrook
2021-06-30,PM2.5,7.7,Willowbrook
2022-06-30,Ozone,0.06,Willowbrook
2022-06-30,PM2.5,8.8,Willowbrook
2020-07-01,Ozone,0.049,Willowbrook
2020-07-01,PM2.5,5.5,Willowbrook
2021-07-01,Ozone,0.042,Willowbrook
2021-07-01,PM2.5,3.7,Willowbrook
2022-07-01,Ozone,0.057,Willowbrook
2022-07-01,PM2.5,9.6,Willowbrook
2020-07-02,Ozone,0.034,Willowbrook
2020-07-02,PM2.5,5.6,Willowbrook
2021-07-02,Ozone,0.044,Willowbrook
2021-07-02,PM2.5,1.5,Willowbrook
2022-07-02,Ozone,0.049,Willowbrook
2022-07-02,PM2.5,5.5,Willowbrook
2020-07-03,Ozone,0.047,Willowbrook
2020-07-03,PM2.5,9.6,Willowbrook
2021-07-03,Ozone,0.012,Willowbrook
2021-07-03,PM2.5,-0.9,Willowbrook
2022-07-03,Ozone,0.048,Willowbrook
2022-07-03,PM2.5,4.8,Willowbrook
2020-07-04,Ozone,0.051,Willowbrook
2020-07-04,PM2.5,16.4,Willowbrook
2021-07-04,Ozone,0.04,Willowbrook
2021-07-04,PM2.5,11.6,Willowbrook
2022-07-04,Ozone,0.042,Willowbrook
2022-07-04,PM2.5,7.9,Willowbrook
2020-07-05,Ozone,0.047,Willowbrook
2020-07-05,PM2.5,10.8,Willowbrook
2021-07-05,Ozone,0.053,Willowbrook
2021-07-05,PM2.5,15.7,Willowbrook
2022-07-05,Ozone,0.049,Willowbrook
2022-07-05,PM2.5,8.1,Willowbrook
2020-07-06,Ozone,0.056,Willowbrook
2020-07-06,PM2.5,8.2,Willowbrook
2021-07-06,Ozone,0.06,Willowbrook
2021-07-06,PM2.5,11.1,Willowbrook
2022-07-06,Ozone,0.039,Willowbrook
2022-07-06,PM2.5,2.9,Willowbrook
2020-07-07,Ozone,0.034,Willowbrook
2020-07-07,PM2.5,4.8,Willowbrook
2021-07-07,Ozone,0.065,Willowbrook
2021-07-07,PM2.5,17.1,Willowbrook
2022-07-07,Ozone,0.029,Willowbrook
2022-07-07,PM2.5,1.1,Willowbrook
2020-07-08,Ozone,0.033,Willowbrook
2020-07-08,PM2.5,9.8,Willowbrook
2021-07-08,Ozone,0.044,Willowbrook
2021-07-08,PM2.5,13.2,Willowbrook
2022-07-08,Ozone,0.049,Willowbrook
2022-07-08,PM2.5,3.9,Willowbrook
2020-07-09,Ozone,0.027,Willowbrook
2020-07-09,PM2.5,7,Willowbrook
2021-07-09,Ozone,0.042,Willowbrook
2021-07-09,PM2.5,1.9,Willowbrook
2022-07-09,Ozone,0.044,Willowbrook
2022-07-09,PM2.5,5.8,Willowbrook
2020-07-10,Ozone,0.02,Willowbrook
2021-07-10,Ozone,0.046,Willowbrook
2021-07-10,PM2.5,6.5,Willowbrook
2022-07-10,Ozone,0.051,Willowbrook
2022-07-10,PM2.5,8.3,Willowbrook
2020-07-11,Ozone,0.038,Willowbrook
2020-07-11,PM2.5,5,Willowbrook
2021-07-11,Ozone,0.049,Willowbrook
2021-07-11,PM2.5,8.3,Willowbrook
2022-07-11,Ozone,0.055,Willowbrook
2022-07-11,PM2.5,9.2,Willowbrook
2020-07-12,Ozone,0.042,Willowbrook
2020-07-12,PM2.5,3,Willowbrook
2021-07-12,Ozone,0.041,Willowbrook
2021-07-12,PM2.5,11.5,Willowbrook
2022-07-12,Ozone,0.063,Willowbrook
2020-07-13,Ozone,0.04,Willowbrook
2020-07-13,PM2.5,1.8,Willowbrook
2021-07-13,Ozone,0.027,Willowbrook
2021-07-13,PM2.5,1.4,Willowbrook
2022-07-13,Ozone,0.059,Willowbrook
2020-07-14,Ozone,0.034,Willowbrook
2020-07-14,PM2.5,1.6,Willowbrook
2021-07-14,Ozone,0.052,Willowbrook
2021-07-14,PM2.5,4.9,Willowbrook
2022-07-14,Ozone,0.051,Willowbrook
2020-07-15,Ozone,0.04,Willowbrook
2020-07-15,PM2.5,2.7,Willowbrook
2021-07-15,Ozone,0.07,Willowbrook
2021-07-15,PM2.5,8.9,Willowbrook
2022-07-15,Ozone,0.042,Willowbrook
2020-07-16,Ozone,0.025,Willowbrook
2021-07-16,Ozone,0.055,Willowbrook
2021-07-16,PM2.5,14.1,Willowbrook
2022-07-16,Ozone,0.054,Willowbrook
2020-07-17,Ozone,0.043,Willowbrook
2020-07-17,PM2.5,6.4,Willowbrook
2021-07-17,Ozone,0.049,Willowbrook
2021-07-17,PM2.5,11.7,Willowbrook
2022-07-17,Ozone,0.049,Willowbrook
2022-07-17,PM2.5,5.4,Willowbrook
2020-07-18,Ozone,0.06,Willowbrook
2020-07-18,PM2.5,7.5,Willowbrook
2021-07-18,Ozone,0.036,Willowbrook
2021-07-18,PM2.5,-0.2,Willowbrook
2022-07-18,Ozone,0.034,Willowbrook
2022-07-18,PM2.5,5.1,Willowbrook
2020-07-19,Ozone,0.062,Willowbrook
2020-07-19,PM2.5,10.3,Willowbrook
2021-07-19,Ozone,0.031,Willowbrook
2021-07-19,PM2.5,4.9,Willowbrook
2022-07-19,Ozone,0.051,Willowbrook
2022-07-19,PM2.5,6.6,Willowbrook
2020-07-20,Ozone,0.055,Willowbrook
2020-07-20,PM2.5,7.6,Willowbrook
2021-07-20,Ozone,0.05,Willowbrook
2021-07-20,PM2.5,55.1,Willowbrook
2022-07-20,Ozone,0.072,Willowbrook
2022-07-20,PM2.5,12,Willowbrook
2020-07-21,Ozone,0.053,Willowbrook
2020-07-21,PM2.5,5.9,Willowbrook
2021-07-21,Ozone,0.051,Willowbrook
2021-07-21,PM2.5,33.4,Willowbrook
