date,units,site_name,state,county,pollutant,value,scaled_value,measurement,zip_code,sfg_id,point_id,x,y
02/13/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.8,0.30014649213200845,NA,10452,44,44,-73.92009,40.83606
02/14/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,6.1,-0.10420598613056498,NA,10452,45,45,-73.92009,40.83606
02/15/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,6.1,-0.10420598613056498,NA,10452,46,46,-73.92009,40.83606
02/16/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,9.4,0.6807135304967835,NA,10452,47,47,-73.92009,40.83606
02/17/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,9.2,0.6331426507011865,NA,10452,48,48,-73.92009,40.83606
02/18/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7,0.10986297294962102,NA,10452,49,49,-73.92009,40.83606
02/19/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.8,-0.4134167048019446,NA,10452,50,50,-73.92009,40.83606
02/20/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.9,-0.389631264904146,NA,10452,51,51,-73.92009,40.83606
02/21/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.2,-0.3182749452107508,NA,10452,52,52,-73.92009,40.83606
02/22/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,8.1,0.37150281182540373,NA,10452,53,53,-73.92009,40.83606
02/23/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,10.4,0.918567929474768,NA,10452,54,54,-73.92009,40.83606
02/24/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,16.2,2.2981234435470768,NA,10452,55,55,-73.92009,40.83606
02/25/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,9,0.5855717709055898,NA,10452,56,56,-73.92009,40.83606
02/26/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.1,-0.5799147840865337,NA,10452,57,57,-73.92009,40.83606
02/27/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.4,-0.7464128633711227,NA,10452,58,58,-73.92009,40.83606
02/28/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,6,-0.12799142602836333,NA,10452,59,59,-73.92009,40.83606
02/29/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.5,-0.2469186255173555,NA,10452,60,60,-73.92009,40.83606
03/01/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.5,0.2287901724386132,NA,10452,61,61,-73.92009,40.83606
03/02/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,12.2,1.3467058476351395,NA,10452,62,62,-73.92009,40.83606
03/03/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,10.6,0.9661388092703647,NA,10452,63,63,-73.92009,40.83606
03/04/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.2,-0.3182749452107508,NA,10452,64,64,-73.92009,40.83606
03/05/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.1,-0.34206038510854936,NA,10452,65,65,-73.92009,40.83606
03/06/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.6,-0.6988419835755257,NA,10452,66,66,-73.92009,40.83606
03/07/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.9,-0.6274856638821305,NA,10452,67,67,-73.92009,40.83606
03/08/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.1,-0.34206038510854936,NA,10452,68,68,-73.92009,40.83606
03/09/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,10.6,0.9661388092703647,NA,10452,69,69,-73.92009,40.83606
03/10/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,10.8,1.0137096890659618,NA,10452,70,70,-73.92009,40.83606
03/11/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.7,-0.43720214469974295,NA,10452,71,71,-73.92009,40.83606
03/12/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.9,0.323931932029807,NA,10452,72,72,-73.92009,40.83606
03/14/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.7,-0.9129109426557117,NA,10452,73,73,-73.92009,40.83606
03/15/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.6,-0.9366963825535101,NA,10452,74,74,-73.92009,40.83606
03/16/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.8,-0.6512711037799289,NA,10452,75,75,-73.92009,40.83606
03/17/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.2,-0.3182749452107508,NA,10452,76,76,-73.92009,40.83606
03/18/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.5,-0.2469186255173555,NA,10452,77,77,-73.92009,40.83606
03/19/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.7,-0.6750565436777273,NA,10452,78,78,-73.92009,40.83606
03/20/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,8.4,0.4428591315187992,NA,10452,79,79,-73.92009,40.83606
03/21/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.3,-0.7701983032689211,NA,10452,80,80,-73.92009,40.83606
03/22/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.3,-0.2944895053129524,NA,10452,81,81,-73.92009,40.83606
03/23/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,1.6,-1.1745507815314946,NA,10452,82,82,-73.92009,40.83606
03/24/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.9,-0.8653400628601149,NA,10452,83,83,-73.92009,40.83606
03/25/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.5,-0.4847730244953399,NA,10452,84,84,-73.92009,40.83606
03/26/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.8,-0.17556230582396024,NA,10452,85,85,-73.92009,40.83606
03/27/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.4,-0.27070406541515385,NA,10452,86,86,-73.92009,40.83606
03/28/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.4,-0.5085584643931382,NA,10452,87,87,-73.92009,40.83606
03/29/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,1.3,-1.24590710122489,NA,10452,88,88,-73.92009,40.83606
03/30/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.1,-0.5799147840865337,NA,10452,89,89,-73.92009,40.83606
03/31/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,1.9,-1.103194461838099,NA,10452,90,90,-73.92009,40.83606
04/01/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.3,-0.7701983032689211,NA,10452,91,91,-73.92009,40.83606
04/02/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.1,-1.0556235820425024,NA,10452,92,92,-73.92009,40.83606
04/03/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,1.9,-1.103194461838099,NA,10452,93,93,-73.92009,40.83606
04/04/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3,-0.8415546229623164,NA,10452,94,94,-73.92009,40.83606
04/05/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,10.4,0.918567929474768,NA,10452,95,95,-73.92009,40.83606
04/06/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.1,-0.817769183064518,NA,10452,96,96,-73.92009,40.83606
04/07/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.6,-0.4609875845975415,NA,10452,97,97,-73.92009,40.83606
04/08/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.5,0.2287901724386132,NA,10452,98,98,-73.92009,40.83606
04/09/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.1,-0.817769183064518,NA,10452,99,99,-73.92009,40.83606
04/10/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.5,-0.9604818224513085,NA,10452,100,100,-73.92009,40.83606
04/11/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.1,-0.5799147840865337,NA,10452,101,101,-73.92009,40.83606
04/12/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.7,0.2763610522342101,NA,10452,102,102,-73.92009,40.83606
04/13/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.8,-0.6512711037799289,NA,10452,103,103,-73.92009,40.83606
04/14/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.1,-0.817769183064518,NA,10452,104,104,-73.92009,40.83606
04/15/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.5,-0.7226274234733242,NA,10452,105,105,-73.92009,40.83606
04/16/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.9,-0.6274856638821305,NA,10452,106,106,-73.92009,40.83606
04/17/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.2,-0.3182749452107508,NA,10452,107,107,-73.92009,40.83606
04/18/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.8,-0.8891255027579134,NA,10452,108,108,-73.92009,40.83606
04/19/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.6,-0.22313318561955717,NA,10452,109,109,-73.92009,40.83606
04/20/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.1,-0.817769183064518,NA,10452,110,110,-73.92009,40.83606
04/21/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4,-0.603700223984332,NA,10452,111,111,-73.92009,40.83606
04/22/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.5,-0.9604818224513085,NA,10452,112,112,-73.92009,40.83606
04/23/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.6,-0.22313318561955717,NA,10452,113,113,-73.92009,40.83606
04/24/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4,-0.603700223984332,NA,10452,114,114,-73.92009,40.83606
04/25/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.5,-0.2469186255173555,NA,10452,115,115,-73.92009,40.83606
04/26/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.7,-0.9129109426557117,NA,10452,116,116,-73.92009,40.83606
04/27/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,0.4,-1.4599760603050755,NA,10452,117,117,-73.92009,40.83606
04/28/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.4,-0.7464128633711227,NA,10452,118,118,-73.92009,40.83606
04/29/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.7,-0.43720214469974295,NA,10452,119,119,-73.92009,40.83606
04/30/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,4.6,-0.4609875845975415,NA,10452,120,120,-73.92009,40.83606
05/01/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,1.4,-1.2221216613270913,NA,10452,121,121,-73.92009,40.83606
05/02/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.4,-0.9842672623491069,NA,10452,122,122,-73.92009,40.83606
05/03/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,6.3,-0.056635106334968065,NA,10452,123,123,-73.92009,40.83606
05/04/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.1,-1.0556235820425024,NA,10452,124,124,-73.92009,40.83606
05/05/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,1.6,-1.1745507815314946,NA,10452,125,125,-73.92009,40.83606
05/06/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,3.2,-0.7939837431667195,NA,10452,126,126,-73.92009,40.83606
05/07/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.3,-1.0080527022469055,NA,10452,127,127,-73.92009,40.83606
05/08/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.6,-0.9366963825535101,NA,10452,128,128,-73.92009,40.83606
05/09/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,0.7,-1.3886197406116805,NA,10452,129,129,-73.92009,40.83606
05/10/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.7,-0.9129109426557117,NA,10452,130,130,-73.92009,40.83606
05/11/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.7,-0.9129109426557117,NA,10452,131,131,-73.92009,40.83606
05/12/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,1.7,-1.150765341633696,NA,10452,132,132,-73.92009,40.83606
05/13/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.8,-0.8891255027579134,NA,10452,133,133,-73.92009,40.83606
05/14/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,6,-0.12799142602836333,NA,10452,134,134,-73.92009,40.83606
05/15/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,10.1,0.8472116097813724,NA,10452,135,135,-73.92009,40.83606
05/16/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,1.2,-1.2696925411226883,NA,10452,136,136,-73.92009,40.83606
05/17/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,0.9,-1.3410488608160835,NA,10452,137,137,-73.92009,40.83606
05/18/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,1.8,-1.1269799017358977,NA,10452,138,138,-73.92009,40.83606
05/19/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,2.5,-0.9604818224513085,NA,10452,139,139,-73.92009,40.83606
05/20/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,1.5,-1.198336221429293,NA,10452,140,140,-73.92009,40.83606
05/21/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.1,-0.34206038510854936,NA,10452,141,141,-73.92009,40.83606
05/22/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,5.4,-0.27070406541515385,NA,10452,142,142,-73.92009,40.83606
